title,media_name,media_url,url,publish_date,language,indexed_date,title_confirmed_relevant,is_lebanese_domain,is_wire_service
Israel warns Lebanon of 'disastrous repercussions' as week's death toll nears 300,gmanetwork.com,gmanetwork.com,https://www.gmanetwork.com/news/topstories/world/979157/israel-warns-lebanon-of-disastrous-repercussions-as-week-s-death-toll-nears-300/story/,2026-03-08,en,2026-03-08 00:20:09.077391+00:00,0,0,0
Haykal says Israeli troops who staged al-Nabi Sheet raid wore Lebanese Army-like uniforms,naharnet.com,naharnet.com,https://www.naharnet.com/stories/en/318806-haykal-says-israeli-troops-who-staged-al-nabi-sheet-raid-wore-lebanese-army-like-uniforms,2026-03-07,en,2026-03-07 23:31:30.639772+00:00,1,1,0
"Israeli PM Netanyahu vows to carry on war, 'eradicate Iranian regime'",thehindu.com,thehindu.com,https://www.thehindu.com/news/international/netanyahu-iran-israel-war-tehran-airspace-strikes-oil-port-attack/article70717023.ece,2026-03-08,en,2026-03-07 23:20:25.089350+00:00,0,0,0
41 dead in clashes after 'disguised' Israeli commandos dig up grave searching for missing navigator,sky.com,sky.com,https://news.sky.com/story/41-dead-in-clashes-after-disguised-israeli-commandos-dig-up-grave-searching-for-missing-navigator-13516609,2026-03-07,en,2026-03-07 22:34:16.401850+00:00,0,0,0
"Netanyahu vows to carry on war, 'eradicate Iranian regime'",timesofmalta.com,timesofmalta.com,https://timesofmalta.com/article/netanyahu-vows-carry-war-eradicate-iranian-regime.1125146,2026-03-07,en,2026-03-07 22:32:41.989681+00:00,0,0,0
Iran fires at Gulf neighbors as Trump threatens more strikes,manilatimes.net,manilatimes.net,https://www.manilatimes.net/2026/03/08/world/iran-fires-at-gulf-neighbors-as-trump-threatens-more-strikes/2295382,2026-03-08,en,2026-03-07 22:31:32.784525+00:00,0,0,0
"Netanyahu Vows To Carry On War, ‘Eradicate Iranian Regime’",channelstv.com,channelstv.com,https://www.channelstv.com/2026/03/07/netanyahu-vows-to-carry-on-war-eradicate-iranian-regime/,2026-03-07,en,2026-03-07 22:19:45.198612+00:00,0,0,0
Hezbollah says clashed with Israeli commandos raiding east Lebanon,dailysabah.com,dailysabah.com,https://www.dailysabah.com/world/mid-east/hezbollah-says-clashed-with-israeli-commandos-raiding-east-lebanon,2026-03-07,en,2026-03-07 22:19:20.648619+00:00,0,0,0
"Netanyahu vows to carry on war, 'eradicate Iranian regime'",tribune.net.ph,tribune.net.ph,https://tribune.net.ph/2026/03/07/netanyahu-vows-to-carry-on-war-eradicate-iranian-regime,2026-03-07,en,2026-03-07 22:17:42.916286+00:00,0,0,0
Oil storage facility struck in Tehran: What to know,newsweek.com,newsweek.com,https://www.newsweek.com/oil-refinery-struck-in-tehran-what-to-know-11640011,2026-03-07,en,2026-03-07 21:30:04.647940+00:00,0,0,0
Israel warns Lebanon of 'heavy price' amid bombardment,channelnewsasia.com,channelnewsasia.com,https://www.channelnewsasia.com/world/israel-warns-lebanon-heavy-price-amid-bombardment-5979191,2026-03-08,en,2026-03-07 21:29:33.216573+00:00,0,0,0
Netanyahu confirms Israeli airborne raid on Lebanon’s Bekaa Valley,dawn.com,dawn.com,https://www.dawn.com/news/1979518/netanyahu-confirms-israeli-airborne-raid-on-lebanons-bekaa-valley,2026-03-07,en,2026-03-07 21:27:39.008387+00:00,0,0,0
Dozens killed as Israeli special forces raid Lebanese village in search of 40-year-old remains,bbc.com,bbc.com,https://www.bbc.com/news/articles/cy8l2p2l3v0o?at_medium=RSS&at_campaign=rss,2026-03-07,en,2026-03-07 21:17:13.425825+00:00,0,0,0
Israel kills dozens in Lebanon after failed mission to find pilot’s remains,theguardian.com,theguardian.com,https://www.theguardian.com/world/2026/mar/07/israel-strikes-eastern-lebanon-killing-dozens-after-raid-to-recover-idf-pilots-remains-fails,2026-03-07,en,2026-03-07 20:25:59.076246+00:00,0,0,0
"Dozens killed in commando raid, Lebanon says, as Israel hunts for long-missing airman",cnn.com,cnn.com,https://www.cnn.com/2026/03/07/middleeast/israel-commando-raid-lebanon-airman-intl,2026-03-07,en,2026-03-07 20:20:06.300589+00:00,0,0,0
Israel’s search in Lebanon for remains of long-lost weapons officer triggers deadly shootout,theglobeandmail.com,theglobeandmail.com,https://www.theglobeandmail.com/world/article-israel-lebanon-middle-east-war/,2026-03-07,en,2026-03-07 20:19:41.796726+00:00,0,0,0
Iran fires at Gulf neighbours as Trump threatens more strikes,indiatimes.com,indiatimes.com,https://economictimes.indiatimes.com/news/defence/iran-fires-at-gulf-neighbours-as-trump-threatens-more-strikes/articleshow/129226013.cms,2026-03-07,en,2026-03-07 18:32:31.078907+00:00,0,0,0
At least 40 killed in Israeli airborne raid in Lebanon,thehindu.com,thehindu.com,https://www.thehindu.com/news/international/several-people-killed-in-israeli-airborne-raid-in-lebanon/article70716769.ece,2026-03-07,en,2026-03-07 17:33:25.169409+00:00,0,0,0
Israeli strikes on east Lebanon during commando operation killed 41,naharnet.com,naharnet.com,https://www.naharnet.com/stories/en/318804-israeli-strikes-on-east-lebanon-during-commando-operation-killed-41,2026-03-07,en,2026-03-07 17:32:09.314393+00:00,0,1,0
Iran and Israel trade attacks after Tehran apologizes to Gulf states,cbc.ca,cbc.ca,https://www.cbc.ca/news/world/livestory/iran-israel-us-war-day-8-9.7109761?cmp=rss,2026-03-07,en,2026-03-07 17:22:20.781659+00:00,0,0,0
Failed Israeli commando operation to find airman remains kills 41 in Lebanon,yahoo.com,yahoo.com,https://sg.news.yahoo.com/failed-israeli-commando-operation-airman-160346667.html,2026-03-07,en,2026-03-07 17:22:15.978873+00:00,0,0,0
Israeli Army Says Lebanon’s Nabi Sheet Airborne Failed to Retrieve Ron Arad Remains,almanar.com.lb,almanar.com.lb,https://english.almanar.com.lb/article/31747/,2026-03-07,en,2026-03-07 17:17:26.421897+00:00,1,1,0
Dozens killed in Lebanon as Israel searches for signs of navigator missing for 40 years,thestar.com,thestar.com,https://www.thestar.com/news/world/middle-east/dozens-killed-in-lebanon-as-israel-searches-for-signs-of-navigator-missing-for-40-years/article_6fd450b2-3fd2-51ad-a32d-8bb49a222bc1.html,2026-03-07,en,2026-03-07 16:20:18.091511+00:00,0,0,0
"Aftermath of village in Lebanon after Hezbollah, Israeli troops clash",aljazeera.com,aljazeera.com,https://www.aljazeera.com/video/newsfeed/2026/3/7/aftermath-of-village-in-lebanon-after-hezbollah-israeli-troops-clash?traffic_source=rss,2026-03-07,en,2026-03-07 16:19:54.056133+00:00,0,0,0
The Latest: Trump says he’ll hit Iran harder as Iranian president apologizes to neighbors,thestar.com,thestar.com,https://www.thestar.com/news/world/middle-east/the-latest-trump-says-he-ll-hit-iran-harder-as-iranian-president-apologizes-to-neighbors/article_7e8aa6ee-bcd6-5bb7-abbd-46531999bd8e.html,2026-03-07,en,2026-03-07 16:18:54.869448+00:00,0,0,0
Israel warns Lebanon of ‘heavy price’ as bombardment pounds its suburbs,straitstimes.com,straitstimes.com,https://www.straitstimes.com/world/middle-east/israel-carries-out-rare-airborne-raid-in-lebanon-16-killed-in-strikes,2026-03-07,en,2026-03-07 16:18:29.833926+00:00,0,0,0
Dozens killed in Lebanon as Israel searches for signs of navigator missing for 40 years,independent.co.uk,independent.co.uk,https://www.independent.co.uk/news/israeli-lebanon-hezbollah-beirut-ayatollah-ali-khamenei-b2933944.html,2026-03-07,en,2026-03-07 15:33:22.092434+00:00,0,0,0
Trump says Iran will be 'hit very hard' today; drone strikes near Dubai airport; investigation points to ‘probable US responsibility’ in school bombing,independent.ie,independent.ie,https://www.independent.ie/world-news/middle-east/trump-says-iran-will-be-hit-very-hard-today-drone-strikes-near-dubai-airport-investigation-points-to-probable-us-responsibility-in-school-bombing/a111695514.html,2026-03-07,en,2026-03-07 15:25:55.273456+00:00,0,0,0
The Promise Behind Israel’s Search for Ron Arad,timesofisrael.com,timesofisrael.com,https://blogs.timesofisrael.com/the-promise-behind-israels-search-for-ron-arad/,2026-03-07,en,2026-03-07 15:24:27.543107+00:00,0,0,0
Iran’s president apologizes for strikes as missiles and drones pound cities,globalnews.ca,globalnews.ca,https://globalnews.ca/news/11720489/irans-president-apologizes-for-strikes-as-missiles-and-drones-pound-cities/,2026-03-07,en,2026-03-07 14:29:45.941632+00:00,0,0,0
Iran Says It Will Stop Attacking Neighboring Countries,moroccoworldnews.com,moroccoworldnews.com,https://www.moroccoworldnews.com/2026/03/281863/iran-says-it-will-stop-attacking-neighboring-countries/,2026-03-07,en,2026-03-07 14:28:53.511728+00:00,0,0,0
​Trump says 'Iran will be hit very hard' TODAY as world braces for the 'big one' - after Tehran strikes Dubai airport with suicide drone then apologises for attacks: Live updates,dailymail.co.uk,dailymail.co.uk,https://www.dailymail.co.uk/news/article-15623495/Dubai-airport-evacuated-drone-attack-Israel-strikes-Tehran-live-updates.html,2026-03-07,en,2026-03-07 14:24:34.920704+00:00,0,0,0
