title,media_name,media_url,url,publish_date,language,indexed_date,title_confirmed_relevant,is_lebanese_domain,is_wire_service
Netanyahu orders military to expand invasion of southern Lebanon,guyanainquirer.com,guyanainquirer.com,https://guyanainquirer.com/netanyahu-orders-military-to-expand-invasion-of-southern-lebanon/,2026-03-29,en,2026-03-29 20:29:12.264112+00:00,0,0,0
Netanyahu orders military to expand invasion of southern Lebanon,stkittsgazette.com,stkittsgazette.com,https://stkittsgazette.com/netanyahu-orders-military-to-expand-invasion-of-southern-lebanon/,2026-03-29,en,2026-03-29 20:27:25.459807+00:00,0,0,0
Israeli airstrike in southern Lebanon kills three journalists covering the war,dunyanews.tv,dunyanews.tv,https://dunyanews.tv/en/World/942984-israeli-airstrike-in-southern-lebanon-kills-three-journalists-covering,2026-03-29,en,2026-03-29 20:26:31.137570+00:00,0,0,0
Iran war: Houthis claim 2nd attack on Israel in 24 hours,dw.com,dw.com,https://www.dw.com/en/iran-war-houthis-claim-2nd-attack-on-israel-in-24-hours/live-76573681?maca=en-rss-en-all-1573-xml-atom,2026-03-28,en,2026-03-29 20:25:54.749532+00:00,0,0,0
Iran war: Tehran warns US against ground assault,dw.com,dw.com,https://www.dw.com/en/iran-war-tehran-warns-us-against-ground-assault/live-76581165?maca=en-rss-en-all-1573-xml-atom,2026-03-29,en,2026-03-29 20:25:19.776571+00:00,0,0,0
Netanyahu orders military to expand invasion of southern Lebanon,puertoricotribune.com,puertoricotribune.com,https://puertoricotribune.com/netanyahu-orders-military-to-expand-invasion-of-southern-lebanon/,2026-03-29,en,2026-03-29 20:21:10.036951+00:00,0,0,0
Israeli airstrike in southern Lebanon kills three journalists covering the war,irishexaminer.com,irishexaminer.com,https://www.irishexaminer.com/world/arid-41818553.html,2026-03-28,en,2026-03-29 20:17:46.246016+00:00,0,0,0
Netanyahu orders military to expand invasion of southern Lebanon,jamaicainquirer.com,jamaicainquirer.com,https://jamaicainquirer.com/netanyahu-orders-military-to-expand-invasion-of-southern-lebanon/,2026-03-29,en,2026-03-29 20:17:13.602065+00:00,0,0,0
Hundreds in Beirut mourn journalists killed in Israeli strike,bbc.com,bbc.com,https://www.bbc.com/news/videos/ce354d73v2ko,2026-03-29,en,2026-03-29 19:37:50.136005+00:00,0,0,0
Netanyahu orders military to expand invasion of southern Lebanon,trinidadtribune.com,trinidadtribune.com,https://trinidadtribune.com/netanyahu-orders-military-to-expand-invasion-of-southern-lebanon/,2026-03-29,en,2026-03-29 19:33:44.360305+00:00,0,0,0
Israel kills 3 Lebanese journos in continued targeting of media,dailysabah.com,dailysabah.com,https://www.dailysabah.com/world/mid-east/israel-kills-3-lebanese-journos-in-continued-targeting-of-media,2026-03-29,en,2026-03-29 19:31:57.729503+00:00,0,0,0
